Part,Description,Bin,Stock Max,ROP,On Hand,On Order,Qty Sugg,Status,Avg Month,Hi Mth,Lo Mth
211242A100,BUSH-KNOCK                         ,C3/F09,0,0,4,0,0,Non,0,0,0
2113325000,PLUG-TAPER                         ,B1/G02,0,0,3,0,0,Non,0,0,0
211442E000,GASKET-RUBBER                      ,C3/J12,0,0,3,0,0,Non,0,0,0
211522G000,BOLT                               ,A4/H17,0,0,2,0,2,Non,0.33,2,0
211562E000,NIPPLE-BYPASS                      ,C3/F39,0,0,13,0,0,Non,0,0,0
213523E000,GASKET-TIMING BELT COVER LWR       ,C3/H12,0,0,1,0,0,Non,0,0,0
213533C500,O-RING                             ,C3/H14,0,0,1,0,0,Non,0.17,1,0
213543E000,GASKET-TIMING BELT COVER LWR       ,C3/H06,0,0,1,0,0,Non,0,0,0
213552E021,O-RING                             ,B6/G11,0,0,4,0,0,Non,0,0,0
213562B000,BOLT-FLANGE                        ,B1/F31,0,0,2,0,0,Non,0,0,0
213562E021,O-RING                             ,A4/I11,0,0,4,0,0,Non,0,0,0
213563E000,GASKET-TIMING BELT COVER           ,C3/H05,0,0,1,0,0,Non,0,0,0
213592E000,BOLT-FLANGE                        ,B1/F32,0,0,4,0,0,Non,0,0,0
213603C500,NIPPLE                             ,B1/I13,0,0,1,0,0,Non,0,0,0
213623E000,GASKET-TIMING BELT CVR             ,C3/H04,0,0,1,0,0,Non,0,0,0
213723E000,GASKET-TIMING BELT CVR             ,C3/H03,0,0,1,0,0,Non,0,0,0
213823E000,GASKET-TIMING BELT CVR             ,C3/H07,0,0,1,0,0,Non,0,0,0
213902G060,BOLT                               ,B1/G27,0,0,6,0,0,Non,0,0,0
213923E000,"GASKET-TIMING BELT COVER""EA""       ",C3/H01,0,0,1,0,0,Non,0,0,0
214142B010,COVER                              ,B6/F15,0,0,1,0,0,Non,0,0,0
214212B030,SEAL-OIL                           ,B1/J11,0,0,1,0,0,Non,0,0,0
214212E300,SEAL-OIL                           ,B1/J06,0,0,10,0,0,Non,0,0,0
214432E110,SEAL-OIL RR                        ,B1/J08,0,0,1,0,0,Non,0,0,0
214432G000,SEAL-OIL RR                        ,B1/J07,0,0,3,0,0,Non,0,0,0
2151311000,GASKET-OIL PLUG                    ,B1/F34,0,0,1,0,0,Non,0,0,0
2151323001,GASKET-ENGINE OIL PLUG             ,COUNTER,41,28,26,0,26,Actv,40.33,62,9
2212523001,STUD                               ,B1/F12,0,0,10,0,0,Non,0,0,0
221252C000,STUD                               ,B1/G13,0,0,6,0,0,Non,0,0,0
221253C200,STUD                               ,B1/F40,0,0,12,0,0,Non,0,0,0
2212703000,STUD                               ,B1/G18,0,0,10,0,10,Non,0,0,0
221272B000,STUD                               ,B1/F26,3,3,15,0,10,Actv,4.5,18,0
2213125000,STUD                               ,B1/G17,0,0,4,0,0,Non,0,0,0
221312G000,STUD                               ,B1/G12,0,0,4,0,0,Non,0,0,0
222222E000,RETAINER-VALVE SPRING              ,B6/F19,0,0,4,0,0,Non,0,0,0
